"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2,C3","3","100uF","","","","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm",""
"C4,C5","2","470uF","","","","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm",""
"CN1","1","PJ-3200","","","","Static:AUDIO-TH_PJ-3200","https://www.lcsc.com/datasheet/C2689690.pdf"
"J1","1","R_SPK","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"J2","1","L_SPK","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"R1,R2","2","10K","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"R3,R4,R5,R6","4","1K","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"RV1,RV2","2","10K","","","","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"SW1","1","SW_Push","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"U1","1","RDA5807MRRD-102V2.0","","","","Static:RDA5807","https://www.lcsc.com/datasheet/C9900205627.pdf"
"U2","1","XIAO-RP2040-DIP","","","","Static:XIAO-RP2040-DIP",""
"U3","1","TDA2822NBD","","","","Package_DIP:DIP-8_W7.62mm","https://www.lcsc.com/datasheet/C51927337.pdf"
"U4","1","m18","","","","Static:m18","https://www.sunrom.com/download/705.pdf"
